Headword,POS
mummy,Noun
invisible,Adjective
think_obsess,Verb
fake,Verb
memorize,Verb
dont_care,Verb
goody_goody,Adjective
close ,Verb
joke,Verb
kick,Verb
open,Verb
tendency,Noun
defeat,Verb
backpack,Noun
permission,Noun
dedicate_2,Verb
these,Minor
goosebumps,Noun
senate,Noun
boil,Verb
megaphone,Noun
evidence,Noun
only_one_2,Adjective
society,Noun
linguistics,Noun
comment,Verb
perspective,Noun
cross_2,Verb
scold,Verb
weekend,Noun
worse,Adjective
postpone,Verb
ooh,Minor
director,Noun
self,Minor
suspend,Verb
disconnect,Verb
single,Adjective
waterdrop,Noun
socialize,Verb
deaf_school,Noun
talk_2,Verb
sentence,Noun
powder,Noun
visualize,Verb
wring,Verb
principal,Noun
pregnant,Noun
generation,Noun
escalate,Verb
acquire,Verb
structure,Noun
wade,Verb
cemetery,Noun
specialist,Noun
middle,Adjective
bother,Verb
tractor,Noun
ponder,Verb
agency,Noun
provide,Verb
smoke,Noun
inside,Adjective
short_distance,Noun
develop,Verb
culture,Noun
go_back_and_forth,Verb
explode,Verb
knight,Verb
load,Verb
inch,Noun
lesbian,Adjective
bitch,Noun
anyone,Minor
score,Verb
system,Noun
refuse,Verb
relief,Adjective
stink,Adjective
top,Adjective
shame_on_you,Minor
special,Adjective
fry ,Verb
total,Noun
tickle,Verb
honk,Verb
sow,Verb
both,Minor
fail,Verb
news_to_me,
instead,Minor
vocabulary,Noun
all_way,Adverb
stripe,Noun
tow_1,Verb
naked,Adjective
band_aid,Noun
grandparents,Noun
had_enough,Adjective
videogame,Noun
league,Noun
get_off,Verb
pinch,Verb
all_of_sudden,Adverb
document,Noun
last_week,Adverb
fill_out,Verb
massage,Verb
range,Noun
excited,Adjective
topic,Noun
dont_need,Verb
sharp_2,Adjective
improve,Verb
basketball,Noun
sweetheart,Noun
blank,Adjective
curly_hair,Adjective
become,Verb
deliberate,Verb
mix_1,Verb
weird,Adjective
sunbathe,Verb
pole,Noun
area,Noun
profoundly_deaf,Adjective
lock_2,Verb
until,Minor
uncertain,Adjective
same_time,Minor
align,Verb
philadelphia,Name
boiling_mad,Adjective
propose,Verb
hands_off,Adjective
retrieve,Verb
public,Noun
dent,Verb
influence,Verb
while,Minor
why_not,Minor
stimulate,Verb
assign,Verb
toss_out,Verb
california,Name
teenager,Noun
from_then_on,Minor
every_year,Adverb
accept,Verb
one_year_ago,Number
commute,Verb
cheerleader,Noun
talk_dirty,Verb
long_word,Noun
quarter,Noun
casual,Adjective
sweat,Verb
graduate_school,Noun
thank_you,Verb
interview,Noun
pumpkin,Noun
infection,Noun
plow,Verb
pack,Verb
time_progress,Minor
volunteer,Noun
heartbody,Noun
know_nothing,Verb
circuswheel,Noun
rescue,Verb
wind,Noun
caught,Verb
april,Name
precious,Adjective
gotcha,Minor
addict,Noun
come_here,Verb
hold_hands,Verb
each_other,Minor
needle,Noun
oil,Noun
really_into,Adjective
intelligent,Adjective
weave,Verb
coach,Noun
scratch,Verb
brick,Noun
access,Noun
alaska,Name
flip,Verb
model_1,Noun
two_of_us,Minor
short_person,Noun
all_day,Adverb
sound,Noun
vanish,Verb
scout,Noun
pageant,Noun
smooth,Adjective
dizzy,Adjective
dog,Noun
cranky,Adjective
delegate,Verb
experiment,Noun
against,Adjective
fourth,Name
keep,Verb
press,Verb
story_3,Noun
duty,Noun
luck,Adjective
tough,Adjective
due,Adjective
downhill,Adverb
convince_2,Verb
yoyo,Noun
erupt_1,Verb
shave_3,Verb
squeeze,Verb
without,Minor
sting,Verb
soon_3,Adjective
oldest,Adjective
a_little_bit,Adjective
protest,Verb
hundred,Number
give_up,Verb
follow_2,Verb
social,Noun
pair,Noun
cool_3,Adjective
pass,Verb
roll_up_sleeves,Verb
knock_off,Verb
role,Noun
barely,Adverb
remember_2,Verb
eye_turn,Verb
jewelry,Noun
one_more_1,Number
no_big_deal,
surgery,Noun
upset_2,Adjective
capture,Verb
navy,Noun
take_off,Verb
validate,Verb
peel_1,Verb
mosquito,Noun
us,Minor
pissed_off,Adjective
bounce,Verb
comfortable,Adjective
advantage,Adjective
sharpen_1,Verb
close_door,Verb
kindergarten,Noun
humor,Adjective
maple,Noun
react,Verb
situation,Noun
parallel,Verb
wheel,Noun
toy_3,Noun
identity,Noun
poop,Verb
roommate,Noun
arrest,Verb
whisper,Verb
depend_on,Verb
all_over_body,Minor
possum,Noun
visit,Verb
script,Noun
unaware,Adjective
instagram,Name
double,Adjective
value,Noun
therapy,Noun
sunrise,Verb
recent,Adjective
mexican_2,Noun
space,Noun
sign_paper,Verb
philosophy,Noun
heap,Noun
senior_citizen,Noun
pickle,Noun
cool_3,Adjective
head_back,Verb
opinion_2,Noun
struggle,Verb
hood,Noun
leave_alone,Verb
group,Noun
feedback,Noun
dilemma,Noun
cool_5,Adjective
dont_feel_like,Verb
fingers_crossed,Minor
story_2,Noun
negative,Adjective
express,Verb
fashion,Noun
steam,Noun
donkey,Noun
march,Name
articulate_sign,Verb
community,Noun
popular,Adjective
lost,Adjective
supervise,Verb
time_to_time,Minor
degree,Noun
environment,Noun
manage,Verb
shoot,Verb
vision,Noun
long_ago,Adverb
absolutely_nothing,Number
sculpt,Verb
respect,Adjective
yay,Minor
client,Noun
wrestle,Verb
mind_turned,Verb
slice,Verb
grow_up,Verb
meditate,Verb
photography,Noun
result,Noun
afternoon,Noun
go_ahead,Verb
greet,Verb
all_together,Adverb
fantasy,Adjective
lead,Noun
breaktime,Noun
automatic,Adjective
foul,Adjective
hard_of_hearing,Adjective
punch_face,Verb
curl,Verb
breakfast,Noun
project,Noun
at,Minor
toy_2,Noun
major,Noun
square,Noun
single_out,Verb
square_idiot,Adjective
dip_1,Verb
cross_heart,Verb
turn,Verb
one_more_2,Number
regular,Adverb
itch,Verb
elementary_school,Noun
goody_goody_shoe_opposite,Minor
catch_2,Verb
priority,Adjective
different_situation,Noun
overnight,Adverb
empty_2,Adjective
wash_face_2,Verb
fond,Adjective
taste,Verb
transgender,Adjective
clip,Verb
resign,Verb
either,Minor
polish,Verb
dominant,Adjective
lend,Verb
ceiling,Noun
kitten,Noun
strangle,Verb
look_back,Verb
will_go,Verb
stack,Verb
visitor,Noun
several,Adjective
run_2,Verb
consume,Verb
twirl,Verb
brainstorm,Verb
board,Noun
proximalization,Noun
sophomore,Adjective
opinion_1,Noun
intervene,Verb
confused,Adjective
Sunday,Name
lay_down,Verb
model_2,Noun
hear_2,Verb
overtake,Verb
interpret,Verb
supervisor,Noun
qm,Noun
somersault,Noun
again,Verb
jaw_drop,Verb
swear_in,Verb
crash,Verb
shave_2,Verb
howl,Verb
special,Adjective
paranoid,Adjective
hospital,Verb
dinner,Noun
half_hour,Noun
headcold,Noun
chew_2,Verb
slip,Verb
inept,Adjective
cherish,Verb
hitchhike,Verb
vibrate,Verb
burn_1,Verb
roast,Verb
drag,Verb
CANCEL,Verb
article,Noun
carry,Verb
white_person,Adjective
mexican_1,Noun
none,Minor
institute,Noun
call_2,Verb
whole,Adverb
positive,Adjective
bark,Verb
wide,Adjective
fade,Verb
welcome,Adverb
workshop,Noun
recent,Adjective
every_night,Adverb
once,Adverb
stay_awake_24hrs,Verb
faculty,Noun
admit,Verb
perceive,Verb
all_over,Adverb
superior,Adjective
former,Adjective
confused,Adjective
dog,Noun
hatch,Verb
truck_2,Noun
function,Noun
third,Number
get_together,Verb
deal_cards,Verb
network,Noun
triple,Number
recite,Verb
stumble,Verb
triangle,Noun
same_same,Minor
conflict,Verb
turn_around,Verb
short_word,Noun
not_a_thing,Minor
twins,Noun
opportunity,Noun
sensitive,Adjective
remove,Verb
grind,Verb
quality,Noun
make_believe,Verb
eight,Number
celebrate,Verb
bee,Noun
fool,Verb
remind,Verb
blouse,Noun
label,Verb
often,Adverb
period,Noun
boston,Name
obsess,Verb
between,Adjective
see_see,Verb
shout,Verb
replace,Verb
mess,Adjective
toss,Verb
get_in_bed,Verb
mention,Verb
long_time,Adverb
adopt,Verb
advertise,Verb
great,Adjective
go_through,Verb
handsome_4,Adjective
dissect,Verb
all_gone,Adverb
arizona,Name
tradition,Noun
sell,Verb
alright,Adjective
ride_2,Verb
vlog,Noun
transfer,Verb
sweet,Adjective
champ,Noun
demote,Verb
nothing_at_all,Minor
organization,Noun
friends_no_more_1,
australia,Name
spicy,Adjective
mainstream,Adjective
kiss_fist,Verb
resent,Verb
independent,Adjective
theory,Noun
rest_all_day,Verb
scoop,Verb
plus,Noun
fifth,Number
inhale,Verb
admire,Verb
vest,Verb
produce_sign,Verb
honey_2,Noun
bullshit,Adjective
hawaii,Name
side,Adjective
focus,Verb
dress_up / fashion,Verb
fired,Verb
cheer,Verb
christmas,Noun
roar,Verb
policy,Noun
cards,Noun
two_weeks,Number
walk_2,Verb
athlete,Noun
stand_up,Verb
corner,Noun
committee,Noun
spaceship,Noun
bleed,Verb
always,Adverb
minimum,Noun
grammar,Noun
undergraduate,Adjective
incredible,Adjective
dissolve,Verb
junior,Adjective
next_year,Minor
retire,Adjective
erase,Verb
gesture,Verb
tuesday,Name
blur,Verb
attitude,Noun
develop,Verb
assist,Verb
dark,Adjective
right_3,Noun
assembly,Verb
expert,Adjective
blush,Verb
next_down,Minor
file_2,Verb
left,Adjective
design,Verb
shakespeare,Noun
hatbrim,Noun
cry_2,Verb
lamp_2,Noun
kiss_3,Verb
suck_thumb,Verb
hatch_2,Verb
sweater_2,Noun
strawberry_4,Noun
grapes_2,Noun
pipe_4,Noun
gloves_3,Noun
basketball,Noun
screwdriver_3,Noun
sandwich_4,Noun
cheerleader_2,Verb
castle_2,Noun
bridge_2,Noun
stack_4,Verb
iphone,Noun
drag,Verb
arrest_2,Verb
walk-tightrope-cl,Verb
snowboard,Verb
magnet_3,Noun
fork_4,Noun
slice_2,Verb
mine,Verb
clash,Verb
meditate_3,Verb
crash_plane,Verb
lick_envelope,Verb
turkey_2,Noun
kangaroo_2,Noun
file_3,Verb
autism_2,Noun
envelope_4,Noun
baby_2,Noun
tie_up_2,Verb
drown_5,Verb
cream_2,Noun
devour,Verb
sail_2,Verb
pop_2,Verb
fishing_2,Verb
lobster_3,Noun
peel_2,Verb
knight_2,Verb
wristwatch_3,Noun
dog_2,Noun
pineapple_2,Noun
flashlight_3,Noun
slide_2,Verb
parachute_3,Verb
conduct_1,Verb
banana_4,Noun
trim_2,Verb
plug_2,Verb
spill_2,Verb
dip_2,Verb
helmet_2,Noun
bowling_2,Verb
throw_2,Verb
gun_3,Verb
blow_candle_1,Verb
necklace_2,Noun
curl_2,Verb
decorate_1,Verb
bark_2,Verb
stethoscope_3,Noun
strain_2,Verb
oil_3,Verb
shoulder_3,Noun
skateboarding_2,Verb
snap_stick,Verb
bury,Verb
float_3,Verb
spread_3,Verb
pineapple_5,Noun
corkscrew_2,Verb
scarf_3,Noun
knight_5,Verb
rhino_3,Noun
tail_2,Noun
bra_2,Noun
hairdryer_3,Verb
nose_bleed,Verb
drown_2,Verb
pour_2,Verb
arm_2,Noun
electrocute,Verb
pillow_2,Noun
tow_2,Verb
erase_3,Verb
chew_2_mouth,Verb
woman_2,Noun
light_2,Verb
peg_3,Noun
money_2,Noun
carrot_2,Noun
reach,Verb
shirt_2,Noun
sharpen_3,Verb
yawn_4,Verb
hit_2,Verb
mail_2,Verb
follow_3,Verb
award,Verb
glass_2,Noun
jacket_2,Noun
listen,Verb
windmill_2,Noun
erupt_2,Verb
think_ponder,
village,Noun
ribbon_award,Noun
bumpy,Adjective
crumple,Verb
hummingbird,Noun
locker,Noun
universe,Noun
cellphone,Noun
arm_3,Noun
load_2,Verb
helicopter_2,Noun
curtsey_1,Verb
saw_2,Verb
microscope_3,Noun
magnet_4,Noun
tow_3,Verb
pineapple_3,Noun
kangaroo_3,Noun
bury_1,Verb
bag_2,Noun
bow_4,Verb
strawberry_2,Noun
pipe_2,Noun
castle_3,Noun
trip_1,Verb
dolphin_2,Noun
blow_candle_2,Verb
sneeze_2,Verb
wash_3,Verb
knitting_2,Verb
carve,Verb
can_2,Noun
lick_envelope_2,Verb
tie_2,Verb
decorate_2,Verb
stethoscope_4,Noun
relax_2,Verb
slip_2,Verb
knight_3,Verb
feed_2,Verb
file_4,Verb
splash-ca,Verb
clock_2,Noun
bra_3,Noun
cry_3,Verb
chew_3,Verb
erase_4,Verb
shave_4,Verb
hoodie_1,Noun
bite,Verb
cat_2,Noun
yawn_2,Verb
pillow_3,Noun
fork_2,Noun
windmill_3,Noun
dip_3,Verb
hair_2,Noun
measure_2,Verb
teach_2,Verb
buckle_1,Noun
slice_3,Verb
catch_baseball,Verb
glass_3,Noun
hippo_2,Noun
serve_2,Verb
wrap_up_2,Verb
timeout,Verb
mop_2,Verb
nut_2,Noun
lock_3,Verb
duck_2,Noun
hang_clothes,Verb
frisk,Verb
cloud_3,Noun
fold_2,Verb
leaf_2,Noun
dribble,Verb
summon,Verb
city_2,Noun
corn_3,Noun
jacket_3,Noun
necklace_3,Noun
stand_2,Verb
point_index,Verb
shout_2,Verb
pet_2,Verb
sandwich_2,Noun
peach_2,Noun
crawl_2,Verb
plow_2,Verb
sweater_3,Noun
conduct_2,Verb
flashlight_4,Noun
bury_3,Verb
roar_2,Verb
greet_2,Verb
bark_3,Verb
banana_2,Noun
mix_2,Verb
flashlight_1,Noun
envelope_2,Noun
bathtub,Noun
stack_2,Verb
peel_3,Verb
pants_2,Noun
gloves_4,Noun
iron_2,Verb
envelope_5,Noun
stretch_1,Verb
skateboarding_3,Verb
drown_3,Verb
underwear_2,Noun
cherry_2,Noun
shoot_2,Verb
pop_3,Verb
light_candle,Verb
kite_2,Noun
somersault_2,Verb
dig,Verb
scarf_4,Noun
racecar_track,Noun
hoodie_2,Noun
fuzzy,Adjective
hold_2,Verb
license,Noun
tablet,Noun
crewcut,Noun
elevator_3,Noun
fork_3,Noun
bed_2,Noun
parachute_2,Verb
shoulder_2,Noun
float_2,Verb
shovel_2,Noun
yawn_3,Verb
peck,Verb
videocamera_2,Noun
knitting_3,Verb
banana_3,Noun
doctor_2,Noun
follow_4,Verb
lemon_2,Noun
bury_2,Verb
tiny,Adjective
imagine_2,Verb
eagle_2,Noun
witch_2,Noun
smile_2,Verb
wade_2,Verb
dentist_2,Noun
cross_3,Noun
lift_2,Verb
pop_4,Verb
dolphin_3,Noun
ski-ca,Verb
sunbathe_2,Verb
tie_up_1,Verb
arrest_3,Verb
fence_2,Noun
curtsey_2,Verb
lobster_2,Noun
iron_3,Verb
screwdriver_2,Noun
knife_2,Noun
wristwatch_2,Noun
strain_1,Verb
dinosaur_2,Noun
mea_culpa,
gloves_2,Noun
tear_rip_2,Verb
fireman_2,Noun
jacket_4,Noun
boil_2,Verb
whistle_3,Noun
hairdryer_2,Noun
conduct_3,Verb
toothbrush-ca,Verb
cloud_4,Noun
cry_4,Verb
meditate_2,Verb
envelope_3,Noun
helicopter_3,Noun
somersault_3,Verb
comb_2,Noun
magnet_2,Noun
slice_4,Verb
oil_2,Noun
stack_3,Verb
milk_2,Verb
pick_2,Verb
sandwich_3,Noun
buckle_2,Noun
carrot_3,Noun
pineapple_4,Noun
drown_4,Verb
stretch-ca,Verb
spread_2,Verb
snow_2,Verb
bite_on_arm,Verb
peg_2,Noun
kick_2,Verb
scarf_2,Noun
stethoscope_2,Noun
cat_3,Noun
magnify_2,Verb
necklace_4,Noun
drink_2,Verb
cracker_2,Noun
chew_4,Verb
erase_5,Verb
run_faucet,Verb
sharpen_2,Verb
erase_2,Verb
hat_2,Noun
strawberry_3,Noun
boots_2,Noun
trip_2,Verb
razor_2,Noun
policeman_2,Noun
gun_2,Noun
swim_2,Verb
atlanta,Name
mountain_2,Noun
catch_3,Verb
castle_4,Noun
trim_1,Verb
pinch_2,Verb
pipe_3,Noun
shave_5,Verb
frown_2,Verb
rhino_2,Noun
glue_1,Verb
mix_3,Verb
rabbit_2,Noun
think_chin,Verb
bun,Noun
bored_2,Adjective
vampire,Noun
blackbird,Noun
braids,Noun
stretch_2,Verb
a-line_bob,Noun
